,price,ranks,title,average_rating,no_of_reviews,author,cover_type,year,genre
434,4.99,15,Laugh-Out-Loud Jokes for Kids,4.6,11593,Rob Elliott,Paperback,2016,Non Fiction
435,21.47,16,To Kill a Mockingbird,4.7,128002,Harper Lee,Mass Market Paperback,2016,Fiction
436,14.63,17,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,4.4,43015,J. D. Vance,Hardcover,2016,Non Fiction
437,13.55,18,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),4.7,11446,J.K. Rowling,Hardcover,2016,Fiction
438,26.13,19,Hamilton: The Revolution,4.9,14086,Lin-Manuel Miranda,Hardcover,2016,Non Fiction
439,10.33,20,The Girl on the Train,4.1,335718,Paula Hawkins,Paperback,2016,Fiction
440,12.98,21,Mindset: The New Psychology of Success,4.6,26347,Carol S. Dweck,Paperback,2016,Non Fiction
441,39.93,22,"The Official SAT Study Guide, 2016 Edition",4.4,1109,The College Board,Paperback,2016,Non Fiction
442,8.99,23,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",4.5,3145,Coloring Books for Adults,Paperback,2016,Non Fiction
443,7.74,24,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,105284,Don Miguel Ruiz,Paperback,2016,Non Fiction
444,7.83,25,Milk and Honey,4.7,53564,Rupi Kaur,Paperback,2016,Non Fiction
445,3.97,26,The Going To Bed Book,4.8,16758,Sandra Boynton,Board book,2016,Fiction
446,16.99,27,Born to Run,4.7,7401,Bruce Springsteen,Hardcover,2016,Non Fiction
447,11.5,28,Alexander Hamilton,4.7,31526,Ron Chernow,Paperback,2016,Non Fiction
448,6.56,29,The Very Hungry Caterpillar,4.9,57968,Eric Carle,Board book,2016,Fiction
449,20.8,30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.7,9341,Stephen R. Covey,Paperback,2016,Non Fiction
450,8.36,51,Fahrenheit 451,4.6,46708,Ray Bradbury,Paperback,2016,Fiction
451,4.98,52,Love You Forever,4.9,57802,Robert Munsch,Paperback,2016,Fiction
452,7.12,53,The Great Gatsby: The Only Authorized Edition,4.4,13718,F. Scott Fitzgerald,Paperback,2016,Fiction
453,23.0,54,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",4.6,12109,Patrick Lencioni,Hardcover,2016,Fiction
454,18.26,55,All the Light We Cannot See,4.5,212137,Anthony Doerr,Hardcover,2016,Fiction
455,4.94,56,"Brown Bear, Brown Bear, What Do You See?",4.9,50740,Bill Martin Jr.,Board book,2016,Fiction
456,13.89,57,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",4.6,136540,Paulo Coelho,Paperback,2016,Fiction
457,10.52,58,"Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer",4.9,10502,Priscilla Shirer,Paperback,2016,Non Fiction
458,15.68,59,The Whistler,4.4,59468,John Grisham,Hardcover,2016,Fiction
459,4.19,60,If Animals Kissed Good Night,4.8,72050,Ann Whitford Paul,Board book,2016,Fiction
460,17.84,61,Cooking for Jeffrey: A Barefoot Contessa Cookbook,4.7,2555,Ina Garten,Hardcover,2016,Non Fiction
461,11.2,62,"The Trials of Apollo, Book 1: The Hidden Oracle",4.7,20171,Rick Riordan,Hardcover,2016,Fiction
462,4.99,63,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),4.5,5902,Rob Elliott,Paperback,2016,Non Fiction
463,4.02,64,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),4.8,13575,Golden Books,Hardcover,2016,Fiction
464,21.88,65,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,4.7,39611,BrenÃ© Brown,Paperback,2016,Fiction
465,14.35,66,"Crisis of Character: A White House Secret Service Officer Discloses His Firsthand Experience with Hillary, Bill, and How They Operate",4.2,7742,Gary J. Byrne,Hardcover,2016,Non Fiction
466,5.99,67,First 100 Animals,4.8,9799,Roger Priddy,Board book,2016,Non Fiction
467,8.99,68,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",4.5,3174,Coloring Books for Adults,Paperback,2016,Non Fiction
468,5.36,69,Goodnight Moon,4.9,26556,Margaret Wise Brown,Board book,2016,Fiction
469,9.05,70,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",4.8,12007,BrenÃ© Brown,Paperback,2016,Non Fiction
470,8.89,71,Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children),4.3,36607,Ransom Riggs,Paperback,2016,Fiction
471,15.46,72,Grit: The Power of Passion and Perseverance,4.6,17354,Angela Duckworth,Hardcover,2016,Non Fiction
472,14.98,73,Emotional Intelligence 2.0,4.5,12407,Travis Bradberry,Hardcover,2016,Fiction
473,13.93,74,The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,4.5,32052,Colson Whitehead,Hardcover,2016,Fiction
474,8.46,75,The Outsiders,4.8,35085,S. E. Hinton,Paperback,2016,Fiction
475,27.99,76,The Food Lab: Better Home Cooking Through Science,4.9,9591,J. Kenji LÃ³pez-Alt,Hardcover,2016,Non Fiction
